State,Date,Dem,GOP,Oth
National,07/08/2024,48.06,46.56,0.0
NC,07/09/2024,46.42,47.39,3.43
National,07/09/2024,48.06,46.56,0.0
NC,07/10/2024,46.42,47.39,3.43
National,07/10/2024,48.06,46.56,0.0
NC,07/11/2024,46.42,47.39,3.43
National,07/11/2024,48.06,46.56,0.0
NC,07/12/2024,46.42,47.39,3.43
National,07/12/2024,48.06,46.56,0.0
National,07/13/2024,48.06,46.56,0.0
NC,07/13/2024,46.42,47.39,3.43
NC,07/14/2024,46.42,47.39,3.43
National,07/14/2024,48.06,46.54,0.0
NC,07/15/2024,46.43,47.41,3.5
National,07/15/2024,48.06,46.54,0.0
NC,07/16/2024,46.43,47.41,3.5
National,07/16/2024,48.06,46.54,0.0
NC,07/17/2024,46.43,47.41,3.5
National,07/17/2024,48.06,46.54,0.0
NC,07/18/2024,46.43,47.41,3.5
National,07/18/2024,48.06,46.54,0.0
NC,07/19/2024,46.43,47.41,3.5
National,07/19/2024,48.06,46.52,0.0
National,07/20/2024,48.06,46.52,0.0
NC,07/20/2024,46.44,47.44,3.6
NH,07/21/2024,49.11,43.99,
PA,07/21/2024,47.4,46.98,
NC,07/21/2024,46.44,47.44,3.6
National,07/21/2024,48.08,46.52,0.0
PA,07/22/2024,47.4,46.98,
National,07/22/2024,48.08,46.52,0.0
NC,07/22/2024,46.44,47.44,3.6
GA,07/22/2024,46.65,47.46,3.5
NH,07/22/2024,49.11,43.99,
GA,07/23/2024,46.65,47.46,3.5
WI,07/23/2024,48.17,45.88,4.1
NH,07/23/2024,49.11,43.99,
PA,07/23/2024,47.4,46.98,
NC,07/23/2024,46.44,47.44,3.61
MI,07/23/2024,46.87,45.57,
AZ,07/23/2024,45.91,47.1,
National,07/23/2024,48.11,46.48,0.0
NC,07/24/2024,46.44,47.44,3.61
MI,07/24/2024,46.87,45.57,
MN,07/24/2024,48.1,41.72,4.71
GA,07/24/2024,46.65,47.46,3.5
NV,07/24/2024,46.68,45.89,
AZ,07/24/2024,45.91,47.1,
FL,07/24/2024,43.33,48.75,
ME,07/24/2024,53.75,41.0,3.0
WI,07/24/2024,48.17,45.88,4.1
NH,07/24/2024,49.11,43.99,
PA,07/24/2024,47.4,46.98,
National,07/24/2024,48.11,46.48,0.0
WI,07/25/2024,48.17,45.88,4.1
MN,07/25/2024,48.1,41.72,4.71
ME2,07/25/2024,47.0,45.0,3.5
MI,07/25/2024,46.87,45.57,
NC,07/25/2024,46.44,47.44,3.61
ME,07/25/2024,53.75,41.0,3.0
ME1,07/25/2024,60.67,35.0,2.0
National,07/25/2024,48.11,46.48,0.0
PA,07/25/2024,47.4,46.98,
FL,07/25/2024,43.33,48.75,
AZ,07/25/2024,45.91,47.1,
GA,07/25/2024,46.65,47.46,3.5
NV,07/25/2024,46.68,45.89,
NH,07/25/2024,49.11,43.99,
ME1,07/26/2024,60.67,35.0,2.0
FL,07/26/2024,43.33,48.75,
AZ,07/26/2024,45.91,47.1,
GA,07/26/2024,46.65,47.46,3.5
ME,07/26/2024,53.75,41.0,3.0
MN,07/26/2024,48.1,41.72,4.71
MI,07/26/2024,46.87,45.57,
NV,07/26/2024,46.68,45.89,
NH,07/26/2024,49.11,43.99,
ME2,07/26/2024,47.0,45.0,3.5
PA,07/26/2024,47.4,46.98,
WI,07/26/2024,48.17,45.88,4.1
National,07/26/2024,48.14,46.49,0.0
NC,07/26/2024,46.44,47.44,3.61
MI,07/27/2024,46.87,45.57,
AZ,07/27/2024,45.91,47.1,
PA,07/27/2024,47.39,46.94,
NH,07/27/2024,49.53,44.16,
ME1,07/27/2024,60.67,35.0,2.0
GA,07/27/2024,46.65,47.46,3.5
National,07/27/2024,48.22,46.43,0.0
WI,07/27/2024,48.17,45.88,4.1
FL,07/27/2024,43.33,48.75,
ME2,07/27/2024,47.0,45.0,3.5
NC,07/27/2024,46.44,47.44,3.61
CA,07/27/2024,58.67,35.0,4.5
ME,07/27/2024,53.75,41.0,3.0
MN,07/27/2024,48.1,41.72,4.71
NV,07/27/2024,46.68,45.89,
CA,07/28/2024,58.67,35.0,4.5
NV,07/28/2024,46.68,45.89,
NH,07/28/2024,49.53,44.16,
AZ,07/28/2024,45.91,47.1,
ME1,07/28/2024,60.67,35.0,2.0
GA,07/28/2024,46.68,47.53,3.48
PA,07/28/2024,47.39,46.94,
National,07/28/2024,48.27,46.37,0.0
WI,07/28/2024,48.17,45.88,4.1
OH,07/28/2024,41.33,50.67,9.0
ME2,07/28/2024,47.0,45.0,3.5
MI,07/28/2024,46.87,45.57,
FL,07/28/2024,43.33,48.75,
NC,07/28/2024,46.44,47.44,3.61
MN,07/28/2024,48.1,41.72,4.71
ME,07/28/2024,53.75,41.0,3.0
OH,07/29/2024,41.33,50.67,9.0
MN,07/29/2024,48.1,41.72,4.71
NV,07/29/2024,46.68,45.89,
NH,07/29/2024,49.53,44.16,
ME,07/29/2024,53.75,41.0,3.0
ME1,07/29/2024,60.67,35.0,2.0
GA,07/29/2024,46.7,47.5,3.45
AZ,07/29/2024,46.04,47.01,
CA,07/29/2024,58.67,35.0,4.5
NC,07/29/2024,46.44,47.44,3.61
National,07/29/2024,48.3,46.36,0.0
FL,07/29/2024,43.33,48.75,
WI,07/29/2024,48.17,45.86,4.13
MI,07/29/2024,46.88,45.53,
ME2,07/29/2024,47.0,45.0,3.5
PA,07/29/2024,47.42,46.92,
NH,07/30/2024,49.4,44.13,
ME2,07/30/2024,47.0,45.0,3.5
WI,07/30/2024,48.23,45.83,4.08
OH,07/30/2024,41.33,50.67,9.0
CA,07/30/2024,58.67,35.0,4.5
ME,07/30/2024,54.26,40.72,2.81
ME1,07/30/2024,60.67,35.0,2.0
PA,07/30/2024,47.47,46.94,
FL,07/30/2024,43.49,48.85,
NC,07/30/2024,46.49,47.46,3.59
GA,07/30/2024,46.76,47.51,3.47
MI,07/30/2024,47.01,45.56,
MN,07/30/2024,48.16,41.59,4.38
AZ,07/30/2024,46.08,47.03,
National,07/30/2024,48.33,46.37,0.0
NV,07/30/2024,46.74,45.91,
CA,07/31/2024,58.67,35.0,4.5
ME,07/31/2024,54.26,40.72,2.81
ME1,07/31/2024,61.21,34.88,2.0
MI,07/31/2024,47.01,45.56,
FL,07/31/2024,43.49,48.85,
MN,07/31/2024,48.08,41.67,4.38
NV,07/31/2024,46.74,45.91,
PA,07/31/2024,47.49,46.96,
GA,07/31/2024,46.76,47.51,3.47
NC,07/31/2024,46.49,47.46,3.59
OH,07/31/2024,41.33,50.67,9.0
ME2,07/31/2024,47.81,45.12,3.22
AZ,07/31/2024,46.08,47.03,
National,07/31/2024,48.36,46.36,0.0
NH,07/31/2024,49.37,44.13,
WI,07/31/2024,48.23,45.83,4.08
ME2,08/01/2024,47.81,45.12,3.22
MN,08/01/2024,48.08,41.67,4.38
ME,08/01/2024,54.26,40.72,2.81
CA,08/01/2024,58.67,35.0,4.5
OH,08/01/2024,41.33,50.67,9.0
NV,08/01/2024,46.74,45.91,
NC,08/01/2024,46.49,47.46,3.59
PA,08/01/2024,47.48,46.9,
MI,08/01/2024,47.0,45.49,
National,08/01/2024,48.48,46.27,0.0
NH,08/01/2024,50.1,44.42,
WI,08/01/2024,48.23,45.83,4.08
GA,08/01/2024,46.76,47.51,3.47
ME1,08/01/2024,61.21,34.88,2.0
FL,08/01/2024,43.49,48.85,
AZ,08/01/2024,46.08,47.03,
OH,08/02/2024,41.33,50.67,9.0
FL,08/02/2024,43.53,48.84,
PA,08/02/2024,47.48,46.9,
NV,08/02/2024,46.74,45.91,
ME2,08/02/2024,47.81,45.12,3.22
NH,08/02/2024,50.11,44.43,
CA,08/02/2024,58.63,35.0,4.41
WI,08/02/2024,48.23,45.83,4.08
NC,08/02/2024,46.49,47.46,3.6
ME1,08/02/2024,61.21,34.88,2.0
AZ,08/02/2024,46.08,47.03,
ME,08/02/2024,54.26,40.72,2.81
GA,08/02/2024,46.82,47.61,3.44
MN,08/02/2024,48.08,41.67,4.38
MI,08/02/2024,47.0,45.49,
National,08/02/2024,48.51,46.27,0.0
NM,08/02/2024,48.5,40.74,5.72
NC,08/03/2024,46.5,47.45,3.6
NM,08/03/2024,48.5,40.74,5.72
AZ,08/03/2024,46.24,46.88,
MI,08/03/2024,46.94,45.47,
FL,08/03/2024,43.53,48.84,
NV,08/03/2024,46.74,45.92,
PA,08/03/2024,47.54,46.87,
WI,08/03/2024,48.23,45.78,4.13
GA,08/03/2024,46.85,47.58,3.4
ME,08/03/2024,54.26,40.72,2.81
MN,08/03/2024,48.08,41.67,4.38
OH,08/03/2024,41.55,50.84,9.0
CA,08/03/2024,58.63,35.0,4.41
NH,08/03/2024,50.14,44.43,
ME2,08/03/2024,47.81,45.12,3.22
National,08/03/2024,48.61,46.26,0.0
ME1,08/03/2024,61.21,34.88,2.0
NM,08/04/2024,48.5,40.74,5.72
OH,08/04/2024,41.55,50.84,9.0
GA,08/04/2024,46.96,47.6,3.43
ME2,08/04/2024,47.81,45.12,3.22
NV,08/04/2024,46.81,45.9,
MN,08/04/2024,48.18,41.42,3.62
ME1,08/04/2024,61.21,34.88,2.0
WI,08/04/2024,48.3,45.71,4.04
NH,08/04/2024,50.0,44.42,
PA,08/04/2024,47.6,46.9,
CA,08/04/2024,58.63,35.0,4.41
National,08/04/2024,48.69,46.27,0.0
AZ,08/04/2024,46.31,46.85,
NC,08/04/2024,46.57,47.49,3.56
ME,08/04/2024,55.4,40.1,2.4
MI,08/04/2024,47.16,45.49,
FL,08/04/2024,43.79,49.0,
NM,08/05/2024,48.5,40.74,5.72
AZ,08/05/2024,46.31,46.82,
ME2,08/05/2024,49.33,45.33,2.6
WI,08/05/2024,48.3,45.7,4.04
ME1,08/05/2024,62.22,34.67,2.0
OH,08/05/2024,41.55,50.84,9.0
NV,08/05/2024,46.81,45.9,
NH,08/05/2024,50.01,44.47,
CA,08/05/2024,58.63,35.0,4.41
National,08/05/2024,48.74,46.26,0.0
NC,08/05/2024,46.58,47.49,3.56
ME,08/05/2024,55.43,40.09,2.39
PA,08/05/2024,47.64,46.92,
MN,08/05/2024,48.01,41.55,3.6
FL,08/05/2024,43.8,49.0,
MI,08/05/2024,47.17,45.49,
GA,08/05/2024,46.91,47.62,3.43
WI,08/06/2024,48.31,45.7,4.04
NH,08/06/2024,50.02,44.47,
NC,08/06/2024,46.58,47.49,3.56
ME,08/06/2024,55.45,40.07,2.38
ME1,08/06/2024,62.24,34.66,2.0
CA,08/06/2024,58.63,35.0,4.41
GA,08/06/2024,46.95,47.64,3.39
NV,08/06/2024,46.81,45.9,
FL,08/06/2024,43.8,49.01,
MI,08/06/2024,47.15,45.39,
MT,08/06/2024,40.04,55.42,4.35
National,08/06/2024,48.75,46.26,0.0
ME2,08/06/2024,49.36,45.34,2.59
PA,08/06/2024,47.65,46.92,
MN,08/06/2024,48.01,41.54,3.58
OH,08/06/2024,41.55,50.84,9.0
AZ,08/06/2024,46.31,46.82,
NM,08/06/2024,48.5,40.74,5.72
ME2,08/07/2024,49.39,45.34,2.57
MI,08/07/2024,47.15,45.38,
NV,08/07/2024,46.82,45.9,
PA,08/07/2024,47.6,46.86,
ME1,08/07/2024,62.26,34.66,2.0
OH,08/07/2024,41.55,50.84,9.0
NC,08/07/2024,46.58,47.49,3.56
National,08/07/2024,48.74,46.26,0.0
GA,08/07/2024,46.95,47.64,3.39
ME,08/07/2024,55.47,40.06,2.37
CA,08/07/2024,58.56,35.0,4.2
AZ,08/07/2024,46.31,46.79,
MT,08/07/2024,40.04,55.42,4.35
WI,08/07/2024,48.32,45.67,3.96
FL,08/07/2024,43.89,49.01,
MN,08/07/2024,48.01,41.54,3.57
NM,08/07/2024,48.5,40.74,5.72
NH,08/07/2024,50.03,44.48,
NV,08/08/2024,46.97,45.97,
FL,08/08/2024,43.99,49.08,
MT,08/08/2024,40.04,55.42,4.35
WI,08/08/2024,48.37,45.66,3.96
PA,08/08/2024,47.62,46.89,
GA,08/08/2024,47.02,47.68,3.37
ME2,08/08/2024,49.42,45.35,2.56
OH,08/08/2024,42.16,51.33,9.0
National,08/08/2024,48.83,46.26,0.0
NM,08/08/2024,48.81,41.0,5.45
ME1,08/08/2024,62.28,34.65,2.0
CA,08/08/2024,58.55,35.0,4.2
ME,08/08/2024,55.49,40.05,2.37
AZ,08/08/2024,46.25,46.87,
MN,08/08/2024,48.15,41.58,3.64
NC,08/08/2024,46.69,47.55,3.51
NH,08/08/2024,50.04,44.48,
MI,08/08/2024,47.13,45.48,
FL,08/09/2024,43.99,49.08,
ME1,08/09/2024,62.3,34.65,2.0
MN,08/09/2024,48.15,41.58,3.62
MI,08/09/2024,47.12,45.44,
ME2,08/09/2024,49.44,45.35,2.55
PA,08/09/2024,47.58,46.88,
NM,08/09/2024,48.81,41.0,5.45
NC,08/09/2024,46.7,47.56,3.54
GA,08/09/2024,47.03,47.68,3.37
ME,08/09/2024,55.51,40.04,2.36
AZ,08/09/2024,46.27,46.79,
CA,08/09/2024,58.55,35.0,4.19
OH,08/09/2024,42.18,51.35,9.0
WI,08/09/2024,48.33,45.6,3.95
NH,08/09/2024,50.05,44.49,
NV,08/09/2024,46.96,45.91,
National,08/09/2024,48.87,46.25,0.0
MT,08/09/2024,40.04,55.42,4.35
CA,08/10/2024,58.55,35.0,4.19
National,08/10/2024,48.89,46.26,0.0
NH,08/10/2024,50.06,44.49,
ME1,08/10/2024,62.31,34.65,2.0
MN,08/10/2024,48.15,41.57,3.61
ME2,08/10/2024,49.46,45.35,2.54
MI,08/10/2024,47.12,45.43,
NV,08/10/2024,46.96,45.91,
PA,08/10/2024,47.59,46.87,
AZ,08/10/2024,46.26,46.75,
WI,08/10/2024,48.33,45.6,3.95
NM,08/10/2024,48.81,41.0,5.45
NC,08/10/2024,46.7,47.56,3.54
OH,08/10/2024,42.2,51.36,9.0
GA,08/10/2024,46.95,47.72,3.37
FL,08/10/2024,44.0,49.08,
ME,08/10/2024,55.53,40.03,2.35
MT,08/10/2024,40.04,55.42,4.35
MI,08/11/2024,47.12,45.43,
National,08/11/2024,48.9,46.26,0.0
WI,08/11/2024,48.33,45.6,3.95
AZ,08/11/2024,46.31,46.83,
NM,08/11/2024,48.81,41.0,5.45
NH,08/11/2024,50.07,44.5,
NV,08/11/2024,46.91,45.95,
MT,08/11/2024,40.04,55.42,4.35
ME1,08/11/2024,62.32,34.65,2.0
PA,08/11/2024,47.6,46.87,
ME,08/11/2024,55.55,40.02,2.35
OH,08/11/2024,42.21,51.37,9.0
MN,08/11/2024,48.15,41.57,3.6
GA,08/11/2024,47.01,47.76,3.31
ME2,08/11/2024,49.48,45.35,2.53
FL,08/11/2024,44.0,49.08,
CA,08/11/2024,58.55,35.0,4.18
NC,08/11/2024,46.7,47.56,3.54
GA,08/12/2024,47.01,47.77,3.3
ME1,08/12/2024,62.34,34.64,2.0
WI,08/12/2024,48.34,45.54,3.82
AZ,08/12/2024,46.29,46.78,
NV,08/12/2024,46.91,45.95,
NM,08/12/2024,48.81,41.0,5.45
National,08/12/2024,48.87,46.25,0.0
MT,08/12/2024,39.9,55.34,4.27
PA,08/12/2024,47.52,46.77,
NC,08/12/2024,46.7,47.56,3.54
OH,08/12/2024,42.23,51.38,9.0
ME,08/12/2024,55.56,40.01,2.34
FL,08/12/2024,44.01,49.09,
MN,08/12/2024,48.15,41.57,3.58
CA,08/12/2024,58.55,35.0,4.18
MI,08/12/2024,47.13,45.43,
NH,08/12/2024,50.08,44.5,
ME2,08/12/2024,49.5,45.36,2.52
FL,08/13/2024,44.16,49.19,
ME1,08/13/2024,62.35,34.64,2.0
MN,08/13/2024,48.39,41.63,3.73
MI,08/13/2024,47.26,45.48,
NV,08/13/2024,47.17,46.03,
AZ,08/13/2024,46.29,46.93,
NH,08/13/2024,50.09,44.51,
GA,08/13/2024,47.14,47.81,3.25
NC,08/13/2024,46.91,47.7,3.38
WI,08/13/2024,48.45,45.55,3.8
ME2,08/13/2024,49.52,45.36,2.51
National,08/13/2024,48.9,46.23,0.0
ME,08/13/2024,55.57,40.0,2.34
PA,08/13/2024,47.5,46.8,
OH,08/13/2024,42.24,51.39,9.0
MT,08/13/2024,39.9,55.34,4.27
NM,08/13/2024,49.32,41.42,4.94
CA,08/13/2024,58.55,35.0,4.18
NM,08/14/2024,49.33,41.43,4.93
NV,08/14/2024,47.17,45.94,
NC,08/14/2024,46.9,47.63,3.38
ME1,08/14/2024,62.36,34.64,2.0
AZ,08/14/2024,46.24,46.87,
NH,08/14/2024,50.1,44.51,
WI,08/14/2024,48.46,45.49,3.79
ME2,08/14/2024,49.54,45.36,2.5
ME,08/14/2024,55.59,40.0,2.33
MT,08/14/2024,39.9,55.34,4.27
