State,dem_prob,gop_prob,2022 PVI,PVI,region,2020 Biden %,2020 Trump %,2016 Clinton %,2016 Trump %,Relative,abs,3p 2016,3p 2020,3p avg,ev,id,value,elast,notes,Margin,Fundamentals,Unc,Expected
WY,0.0,1.0,R+25,-47.8,PLAINS,26.60%,69.90%,21.90%,68.20%,-47.80%,-47.8,10%,4%,7%,3,Wyoming,-25.0,0.95,,-46.55645574990422,-46.57057333333333,1.0,-46.56
WI,0.5321,0.4679,R+2,-3.8,MW,49.50%,48.80%,46.50%,47.20%,-3.80%,-3.8,6%,2%,4%,10,Wisconsin,-2.0,1.06,,2.6594434857086484,-2.428218666666666,0.1690308509457033,0.76
WV,0.0009,0.9991,R+22,-43.4,AP,29.70%,68.60%,26.40%,68.50%,-43.40%,-43.4,5%,2%,3%,4,West Virginia,-22.0,1.1,,-24.69520174975249,-41.97645333333333,1.0,-31.15
WA,0.9125,0.0875,D+8,14.7,PACIFIC,58.00%,38.80%,52.50%,36.80%,14.70%,14.7,11%,3%,7%,12,Washington,8.0,1.06,,13.139369776756228,16.071781333333334,1.0,14.23
VA,0.7693,0.2307,D+3,5.6,ATLANTIC,54.10%,44.00%,49.70%,44.40%,5.60%,5.6,6%,2%,4%,13,Virginia,3.0,0.92,,7.394362178076873,6.790602666666667,0.5,7.17
VT,0.9996,0.0004,D+16,30.9,NE,66.10%,30.70%,56.70%,30.30%,30.90%,30.9,13%,3%,8%,3,Vermont,16.0,1.23,,37.133124477459305,32.491783999999996,0.7071067811865476,35.4
UT,0.0104,0.9896,R+13,-24.9,SW,37.70%,58.10%,27.50%,45.50%,-24.90%,-24.9,27%,4%,16%,6,Utah,-13.0,1.02,,-23.538102111889167,-23.579984,1.0,-23.55
TX,0.2493,0.7507,R+5,-10.1,SOUTH,46.50%,52.10%,43.20%,52.20%,-10.10%,-10.1,5%,1%,3%,40,Texas,-5.0,1.02,,-5.295399414593242,-8.779983999999999,0.408248290463863,-6.6
TN,0.0047,0.9953,R+14,-27.7,AP,37.50%,60.70%,34.70%,60.70%,-27.70%,-27.7,5%,2%,3%,11,Tennessee,-14.0,0.98,,-26.408449833901354,-26.431749333333332,1.0,-26.42
SD,0.0019,0.9981,R+16,-30.7,PLAINS,35.60%,61.80%,31.70%,61.50%,-30.70%,-30.7,7%,3%,5%,3,South Dakota,-16.0,1.03,,-29.342892464910552,-29.367042666666666,1.0,-29.35
SC,0.0767,0.9233,R+8,-16.2,SOUTH,43.40%,55.10%,40.70%,54.90%,-16.20%,-16.2,4%,1%,3%,9,South Carolina,-8.0,0.88,,-15.015388208949833,-15.061162666666666,1.0,-15.03
RI,0.9557,0.0443,D+8,16.3,NE,59.40%,38.60%,54.40%,38.90%,16.30%,16.3,7%,2%,4%,4,Rhode Island,8.0,1.26,,17.90032874816995,17.930608,1.0,17.91
PA,0.4881,0.5119,R+2,-3.3,ATLANTIC,50.00%,48.80%,47.50%,48.20%,-3.30%,-3.3,4%,1%,3%,19,Pennsylvania,-2.0,0.97,,0.7252887699529211,-2.0446906666666664,0.14433756729740643,-0.31
OR,0.8566,0.1434,D+6,11.6,PACIFIC,56.50%,40.40%,50.10%,39.10%,11.60%,11.6,11%,3%,7%,8,Oregon,6.0,1.07,,9.457368179257513,12.984722666666666,0.5773502691896257,10.77
OK,0.0001,0.9999,R+20,-37.6,PLAINS,32.30%,65.40%,28.90%,65.30%,-37.60%,-37.6,6%,2%,4%,7,Oklahoma,-20.0,0.93,,-36.38218006380582,-36.396456,1.0,-36.39
OH,0.1611,0.8389,R+6,-12.6,MW,45.20%,53.30%,43.60%,51.70%,-12.60%,-12.6,5%,1%,3%,17,Ohio,-6.0,1.02,,-8.262550835100017,-11.279983999999999,0.4472135954999579,-9.39
ND,0.0001,0.9999,R+20,-37.8,PLAINS,31.80%,65.10%,27.20%,63.00%,-37.80%,-37.8,10%,3%,6%,3,North Dakota,-20.0,1.11,,-36.342016014771346,-36.363512,1.0,-36.35
NC,0.4372,0.5628,R+3,-5.8,SOUTH,48.60%,49.90%,46.20%,49.80%,-5.80%,-5.8,4%,2%,3%,16,North Carolina,-3.0,0.94,,0.01950442662252505,-4.583514666666667,0.19611613513818404,-1.7
NY,0.9275,0.0725,D+10,18.6,NE,60.90%,37.80%,59.00%,36.50%,18.60%,18.6,5%,1%,3%,28,New York,10.0,0.96,,12.268108297185924,19.842368,0.7071067811865476,15.1
NM,0.76,0.24,D+3,6.3,SW,54.30%,43.50%,48.30%,40.00%,6.30%,6.3,12%,2%,7%,5,New Mexico,3.0,1.09,,6.752254610436556,7.7106053333333335,0.4472135954999579,7.11
NJ,0.8919,0.1081,D+6,11.4,NE,57.30%,41.40%,55.50%,41.40%,11.40%,11.4,3%,1%,2%,14,New Jersey,6.0,1.04,,12.746985547711446,12.745898666666667,1.0,12.75
NH,0.7111,0.2889,D+1,2.8,NE,52.70%,45.40%,47.00%,46.60%,2.80%,2.8,6%,2%,4%,4,New Hampshire,1.0,1.28,,6.252139673815281,4.456490666666666,0.3535533905932738,5.58
NV,0.5182,0.4818,R+1,-2.1,SW,50.10%,47.70%,47.90%,45.50%,-2.10%,-2.1,7%,2%,4%,6,Nevada,-1.0,1.08,,1.133244636957984,-0.7023360000000001,0.2182178902359924,0.45
NE3,0.0,1.0,,-57.52,PLAINS,22.34%,75.36%,,,-57.52%,-57.52,,2%,2%,1,Nebraska's 3rd District,,0.95,,-56.2767485638677,-56.290573333333334,1.0,-56.28
NE2,0.6897,0.3103,,2.0,PLAINS,51.95%,45.45%,,,2.00%,2.0,,3%,3%,1,Nebraska's 2nd District,,1.05,,5.778505137133055,3.35884,0.5773502691896257,4.88
NE1,0.0378,0.9622,,-19.42,PLAINS,41.09%,56.01%,,,-19.42%,-19.42,,3%,3%,1,Nebraska's 1st District,,1.01,,-18.069010300719057,-18.112925333333337,1.0,-18.09
NE,0.0446,0.9554,R+13,-23.5,PLAINS,39.20%,58.20%,33.70%,58.80%,-23.50%,-23.5,8%,3%,5%,2,Nebraska,-13.0,1.02,,-14.976748622326342,-22.179984,1.0,-17.67
MT,0.0556,0.9444,R+11,-20.8,PLAINS,40.60%,56.90%,35.80%,56.20%,-20.80%,-20.8,8%,3%,5%,4,Montana,-11.0,1.05,,-13.566186486667343,-19.44116,0.4472135954999579,-15.76
MO,0.0852,0.9148,R+10,-19.9,SOUTH,41.40%,56.80%,38.10%,56.80%,-19.90%,-19.9,5%,2%,3%,10,Missouri,-10.0,1.01,,-12.100465311757938,-18.592925333333334,1.0,-14.52
MS,0.0284,0.9716,R+11,-21.0,SOUTH,41.10%,57.60%,40.10%,57.90%,-21.00%,-21.0,2%,1%,2%,6,Mississippi,-11.0,0.79,,-19.943431162520895,-19.977634666666667,1.0,-19.96
MN,0.7344,0.2656,D+1,2.6,MW,52.40%,45.30%,46.40%,44.90%,2.60%,2.6,9%,2%,5%,10,Minnesota,1.0,1.01,,6.2941338589385465,3.9070746666666665,0.3333333333333333,5.4
MI,0.5407,0.4593,R+1,-1.7,MW,50.60%,47.80%,47.30%,47.50%,-1.70%,-1.7,5%,2%,3%,15,Michigan,-1.0,1.03,,1.5004762738153365,-0.36704266666666663,0.17149858514250885,0.8
MA,0.9987,0.0013,D+15,29.0,NE,65.60%,32.10%,60.00%,32.80%,29.00%,29.0,7%,2%,5%,11,Massachusetts,15.0,1.17,,30.493704112087404,30.514136,1.0,30.5
MD,0.9956,0.0044,D+14,28.7,ATLANTIC,65.40%,32.20%,60.30%,33.90%,28.70%,28.7,6%,2%,4%,10,Maryland,14.0,0.87,,23.72680281041035,29.825896,0.7071067811865476,26.0
ME2,0.4252,0.5748,R+6,-11.94,NE,44.82%,52.26%,40.98%,51.26%,-11.94%,-11.94,8%,3%,5%,1,Maine's 2nd District,-6.0,1.1,Maine gives one of its electoral vote to the winner of each Congressional district. ,3.182029189304164,-10.516453333333333,0.5773502691896257,-1.93
ME1,0.9903,0.0097,D+9,18.59,NE,60.11%,37.02%,53.96%,39.15%,18.59%,18.59,7%,3%,5%,1,Maine's 1st District,9.0,1.15,Maine gives one of its electoral vote to the winner of each Congressional district. ,25.609164063135932,20.078253333333333,0.5773502691896257,23.54
ME,0.8679,0.1321,D+2,4.6,NE,53.10%,44.00%,47.80%,44.90%,4.60%,4.6,7%,3%,5%,2,Maine,2.0,1.17,Maine gives one of its electoral vote to the winner of each Congressional district. ,14.263072695071848,6.114135999999999,0.5,11.22
LA,0.0179,0.9821,R+12,-23.1,SOUTH,39.90%,58.50%,38.50%,58.10%,-23.10%,-23.1,3%,2%,3%,8,Louisiana,-12.0,0.93,,-21.86300470028696,-21.896456,1.0,-21.88
KY,0.0023,0.9977,R+16,-30.4,AP,36.20%,62.10%,32.70%,62.50%,-30.40%,-30.4,5%,2%,3%,8,Kentucky,-16.0,1.0,,-29.08623351547998,-29.105866666666664,1.0,-29.09
KS,0.0419,0.9581,R+10,-19.1,PLAINS,41.60%,56.20%,36.10%,56.70%,-19.10%,-19.1,7%,2%,5%,6,Kansas,-10.0,1.04,,-17.71895352219635,-17.754101333333335,1.0,-17.73
IA,0.1405,0.8595,R+6,-12.7,MW,44.90%,53.10%,41.70%,51.20%,-12.70%,-12.7,7%,2%,5%,6,Iowa,-6.0,1.13,,-11.182137477371626,-11.237629333333333,1.0,-11.2
IN,0.0364,0.9636,R+11,-20.5,MW,41.00%,57.00%,37.90%,56.80%,-20.50%,-20.5,5%,2%,4%,11,Indiana,-11.0,1.0,,-19.167779418148562,-19.205866666666665,1.0,-19.18
IL,0.9039,0.0961,D+7,12.4,MW,57.50%,40.60%,55.80%,38.80%,12.40%,12.4,5%,2%,4%,19,Illinois,7.0,0.98,,13.607405276919948,13.668250666666667,1.0,13.63
ID,0.0001,0.9999,R+18,-35.2,PLAINS,33.10%,63.80%,27.50%,59.30%,-35.20%,-35.2,13%,3%,8%,4,Idaho,-18.0,1.1,,-33.75195667775905,-33.776453333333336,1.0,-33.76
HI,0.9936,0.0064,D+14,24.9,PACIFIC,63.70%,34.30%,62.20%,30.00%,24.90%,24.9,8%,2%,5%,4,Hawaii,14.0,1.15,,26.35424111351904,26.38825333333333,1.0,26.37
GA,0.4293,0.5707,R+3,-4.2,SOUTH,49.50%,49.20%,45.60%,50.80%,-4.20%,-4.2,4%,1%,2%,16,Georgia,-3.0,0.84,,-1.0641860583360516,-3.112928,0.19245008972987526,-1.83
FL,0.2798,0.7202,R+3,-7.8,SOUTH,47.90%,51.20%,47.80%,49.00%,-7.80%,-7.8,3%,1%,2%,30,Florida,-3.0,1.04,,-3.791141710778349,-6.454101333333333,0.2672612419124244,-4.79
DC,1.0,0.0,D+43,82.3,ATLANTIC,92.20%,5.40%,90.90%,4.10%,82.30%,82.3,5%,2%,4%,3,District of Columbia,43.0,0.62,,83.09212863531425,83.10236266666666,1.0,83.1
DE,0.934,0.066,D+7,14.4,ATLANTIC,58.70%,39.80%,53.10%,41.70%,14.40%,14.4,5%,2%,3%,3,Delaware,7.0,0.9,,15.526433682604814,15.564720000000001,1.0,15.54
CT,0.9505,0.0495,D+7,15.6,NE,59.30%,39.20%,54.60%,40.90%,15.60%,15.6,4%,2%,3%,7,Connecticut,7.0,1.09,,16.989529971758827,17.010605333333334,1.0,17.0
CO,0.8839,0.1161,D+4,9.0,SW,55.40%,41.90%,48.20%,43.30%,9.00%,9.0,9%,3%,6%,10,Colorado,4.0,1.09,,13.98027838377065,10.410605333333333,1.0,12.65
CA,0.9923,0.0077,D+13,24.7,PACIFIC,63.50%,34.30%,61.70%,31.60%,24.70%,24.7,7%,2%,4%,54,California,13.0,0.96,,21.848334855319017,25.942368,0.5,23.38
AR,0.0017,0.9983,R+16,-32.1,SOUTH,34.80%,62.40%,33.70%,60.60%,-32.10%,-32.1,6%,3%,4%,6,Arkansas,-16.0,1.02,,-30.75764077131421,-30.779984000000002,1.0,-30.77
AZ,0.4449,0.5551,R+2,-4.2,SW,49.40%,49.10%,44.60%,48.10%,-4.20%,-4.2,7%,2%,4%,11,Arizona,-2.0,1.07,,-0.46008511976506866,-2.8152773333333334,0.18257418583505536,-1.34
AK,0.1548,0.8452,R+8,-14.5,PACIFIC,42.80%,52.80%,36.60%,51.30%,-14.50%,-14.5,12%,4%,8%,3,Alaska,-8.0,1.07,,-9.030848742646235,-13.115277333333333,1.0,-10.56
