0,1,2,3,4,5,6,7,8,9
08/21/2024,0.4904,0.5047,0.0049,49.07,47.59,3.34,47.88,45.52,4.65
0,1,2,3,4,5,6,7,8,9
08/21/2024,0.4904,0.5047,0.0049,49.07,47.59,3.34,47.88,45.52,4.65
0,1,2,3,4,5,6,7,8,9
08/21/2024,0.4906,0.5024,0.007,49.07,47.59,3.34,47.88,45.52,4.65
0,1,2,3,4,5,6,7,8,9
08/22/2024,0.51,0.4846,0.0054,48.99,47.5,3.51,47.71,45.41,4.88
0,1,2,3,4,5,6,7,8,9
08/22/2024,0.5116,0.4831,0.0053,49.06,47.43,3.51,48.09,45.48,4.89
0,1,2,3,4,5,6,7,8,9
08/22/2024,0.4947,0.5007,0.0046,49.06,47.43,3.51,48.09,45.48,4.89
0,1,2,3,4,5,6,7,8,9
08/23/2024,0.4994,0.4953,0.0053,49.15,47.33,3.52,48.1,45.15,4.87
0,1,2,3,4,5,6,7,8,9
08/23/2024,0.4979,0.4969,0.0052,49.14,47.33,3.53,48.23,45.28,4.88
0,1,2,3,4,5,6,7,8,9
08/24/2024,0.5006,0.4947,0.0047,49.2,47.37,3.43,48.34,45.25,4.71
0,1,2,3,4,5,6,7,8,9
08/24/2024,0.511,0.4829,0.0061,49.43,47.14,3.43,48.34,45.25,4.71
0,1,2,3,4,5,6,7,8,9
08/24/2024,0.4908,0.5025,0.0067,48.98,47.59,3.43,48.34,45.25,4.71
0,1,2,3,4,5,6,7,8,9
08/24/2024,0.4986,0.4953,0.0061,49.26,47.87,2.87,48.34,45.25,4.71
0,1,2,3,4,5,6,7,8,9
08/24/2024,0.5008,0.4936,0.0056,50.3,48.91,0.79,48.34,45.25,4.71
0,1,2,3,4,5,6,7,8,9
08/24/2024,0.4858,0.508,0.0062,50.3,48.91,0.79,48.34,45.25,4.71
0,1,2,3,4,5,6,7,8,9
08/24/2024,0.496,0.4975,0.0065,50.38,48.83,0.79,48.28,45.11,4.71
0,1,2,3,4,5,6,7,8,9
08/24/2024,0.4916,0.5026,0.0058,50.29,48.92,0.79,49.5,46.73,4.71
